Adjusted Close,Weighted Moving Average,Inverted Close,Inverted WMA
19.870001,17.480407847058828,2846.060059,3229.321078054118
19.9,17.50360784862746,2761.629883,3217.6784790533334
19.57,17.53401569333333,2789.820068,3207.8083971121573
19.82,17.567921615686274,2749.97998,3198.6506307435297
20,17.605113732549015,2659.409912,3188.8751642815687
20.07,17.649129418823538,2663.679932,3179.711719880785
19.799999,17.690282359999998,2488.649902,3170.4854859827446
19.85,17.737529458823527,2526.899902,3162.358470249412
19.66,17.794243145098047,2470.5,3154.419669709019
19.610001,17.845403968627448,2584.590088,3147.5130541725484
19.370001,17.893537261960784,2626.649902,3140.7534467035293
18.68,17.9427686745098,2541.469971,3134.258643534902
18.34,18.00364714431372,2630.070068,3127.0468468635295
18.889999,18.048431456470595,2475.560059,3120.0170986737257
19.049999,18.096329493333332,2447.330078,3113.198279536471
18.74,18.141843216470587,2237.399902,3106.1524080854897
18.4,18.19570988,2304.919922,3098.6386400737265
18.34,18.249953013333332,2409.389893,3092.719756626666
18.57,18.296156930980395,2398.100098,3085.5326681121574
18.559999,18.354541279215688,2529.189941,3078.458000921569
18.540001,18.410376568627456,2386.129883,3071.214279457255
18.469999,18.47725499529411,2711.02002,3064.5638635388227
18.68,18.54047852,2480.639893,3058.48364409098
18.860001,18.595741261176475,2741.379883,3052.5947462831373
19.07,18.649521648627452,2882.22998,3047.355573497255
19.139999,18.705952977254903,2746.560059,3042.8579672133333
18.98,18.749301993725492,2972.370117,3037.627593454902
19.290001,18.783709834509796,3023.939941,3033.7270000658823
19.48,18.82073728313726,3130.120117,3028.7258274298038
19.389999,18.85956865254902,3003.370117,3024.3537461960786
19.459999,18.902486258039215,3090.22998,3018.8858756815685
19.43,18.95204704156862,2954.219971,3011.5485579552937
18.950001,19.002564687843147,2978.76001,3004.674117461176
18.809999,19.052376490980386,3116.389893,2997.756930339607
18.959999,19.10200001960785,3128.209961,2991.612178710588
18.700001,19.153286294117642,3225.889893,2985.5314941733327
18.799999,19.214517667450984,3337.75,2978.7475706737255
19.030001,19.279976490980392,3373.22998,2972.801436884706
18.99,19.337411785098034,3386.149902,2968.2264343827446
19.030001,19.39119217803922,3370.290039,2962.291593889412
19.120001,19.44138037490196,3380.159912,2957.4579059223533
19.09,19.49513727843137,3373.939941,2951.6962534407835
19.200001,19.549631435294117,3379.449951,2946.6714901270584
19.24,19.599701982745092,3357.75,2940.0556874188223
19.42,19.63422743294119,3352.090088,2935.08974990902
19.469999,19.669631393725492,3327.709961,2930.41933804549
19.43,19.695200020392157,3345.780029,2926.0620268501957
19.42,19.707607822745093,3334.689941,2923.3324586533327
19.33,19.708094135686277,3297.590088,2922.195688196863
19.360001,19.72280785960785,3248.919922,2917.964801622745
19.58,19.740792210980388,3225.52002,2914.8092850070584
19.49,19.758431424313716,3283.659912,2908.3186561803923
19.25,19.76169416705882,3273.399902,2902.064761819607
19.299999,19.773733380392155,3276.23999,2896.342605349804
19.25,19.791686320000007,3243.629883,2889.657496009412
19.290001,19.811176513725492,3295.469971,2882.687347236864
19.129999,19.818964707450988,3325.540039,2874.923229791372
19.469999,19.82777254901961,3321.75,2868.9406064729415
19.610001,19.828290195294116,3320.790039,2863.5260704203924
19.639999,19.826368664313716,3329.620117,2859.201485733334
19.77,19.814509878431362,3316.810059,2847.1753326070584
20.02,19.775215757647057,3289.290039,2834.038989723137
20,19.722800069019605,3283.149902,2819.3918954580386
20.02,19.69269022431373,3288.129883,2805.780627251765
20.34,19.668870576470585,3265.350098,2794.8051408705887
20.379999,19.632870576470584,3274.699951,2782.895520395294
20.540001,19.58373332156863,3253.050049,2771.940435006275
20.58,19.532894105882356,3237.179932,2761.3607255027455
20.610001,19.491803909803917,3246.280029,2750.7219226368625
20.870001,19.450737203921573,3234.850098,2740.148056232941
20.969999,19.40957646039217,3257.850098,2728.9306328180387
21.07,19.366352892549024,3230.780029,2718.943007952156
20.940001,19.33235289411764,3221.290039,2710.1595034392158
21.09,19.30619607215686,3240.02002,2701.275753429804
20.92,19.28879215137255,3239.909912,2691.32366226196
21.08,19.27448623058824,3223.379883,2683.21010299451
21.16,19.254290152941177,3224.01001,2673.7436978980386
21.139999,19.246533330196073,3221.219971,2667.829416923137
21.139999,19.24611764392157,3205.370117,2662.480028136471
21.33,19.241992114509806,3191.139893,2658.6228904219615
21.18,19.240564625098038,3192.52002,2652.9440776227448
21.18,19.237968547450983,3191.449951,2645.082220637647
21.219999,19.21674505803922,3168.800049,2637.2545006172554
21.360001,19.190658744313726,3168.570068,2631.3714593113723
21.43,19.171215569411764,3141.629883,2626.9579873403927
21.41,19.1422587482353,3132.52002,2621.9788597529405
21.4,19.11818812235294,3135.959961,2618.2879262847064
21.129999,19.10426659529411,3145.909912,2615.457001804706
21.139999,19.08985875372549,3117.429932,2609.8468784768625
21.360001,19.078023500392153,3112.76001,2603.5463363803924
21.26,19.070666677647065,3093.199951,2600.5687636007847
21.190001,19.062988245490196,3113.870117,2597.4047325223523
21.26,19.060619657254897,3140.97998,2596.266159844706
21.219999,19.06079220627451,3153.629883,2597.080298548235
21.110001,19.06892553882353,3140.52002,2598.2743976054903
21.18,19.079513733333343,3133.639893,2602.362833940392
21.41,19.089043145098035,3110.290039,2603.5188445905883
21.51,19.098564713725484,3103.540039,2603.0690613325482
21.65,19.104721575686273,3108.459961,2605.9217332760786
21.719999,19.112078477647053,3120.179932,2609.799924544314
21.790001,19.12836867294117,3122.030029,2611.584439118431
21.84,19.141356908235288,3120.459961,2616.9775566423536
